per month (net figures),Jul 26,Aug 26,Sep 26,Oct 26,Nov 26,Dec 26,Jan 27,Feb 27,Mar 27,Apr 27,May 27,Jun 27,Jul 27,Aug 27,Sep 27,Oct 27,Nov 27,Dec 27,Jan 28,Feb 28,Mar 28,Apr 28,May 28,Jun 28,Jul 28,TOTAL
PLANNED INCOME
Net salary (min, can be more),4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,110000
TOTAL INCOME (A),4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,4400,110000
PLANNED EXPENDITURE - Fixed
New Credit Union loan,1393,1393,1393,1393,1393,1393,1393,1393,1393,1393,1393,1393,1393,1393,1393,1393,1393,1393,1393,1393,1393,1393,1393,1393,cleared,33432
Old Credit Union loan (Jul 2026 only),160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160
Car insurance,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,197,4925
Motor tax,56.50,56.50,56.50,56.50,56.50,56.50,56.50,56.50,56.50,56.50,56.50,56.50,56.50,56.50,56.50,56.50,56.50,56.50,56.50,56.50,56.50,56.50,56.50,56.50,56.50,1412.50
Gym membership,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,2475
Broadband (WiFi),55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,1375
Subtotal Fixed,1960.50,1800.50,1800.50,1800.50,1800.50,1800.50,1800.50,1800.50,1800.50,1800.50,1800.50,1800.50,1800.50,1800.50,1800.50,1800.50,1800.50,1800.50,1800.50,1800.50,1800.50,1800.50,1800.50,1800.50,407.50,43779.50
Irregular (on the card, cleared in full)
Groceries / food,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,750,18750
Diesel / fuel,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,11250
Electricity (ESB),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2500
Mobile phone,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1250
Subtotal Irregular,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,1350,33750
Discretionary (optional)
Entertainment / socialising,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,3000
Clothes / personal care,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,2000
Medical / pharmacy,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,1250
Subtotal Discretionary,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,6250
TOTAL EXPENDITURE (B),3560.50,3400.50,3400.50,3400.50,3400.50,3400.50,3400.50,3400.50,3400.50,3400.50,3400.50,3400.50,3400.50,3400.50,3400.50,3400.50,3400.50,3400.50,3400.50,3400.50,3400.50,3400.50,3400.50,3400.50,2007.50,83779.50
NET CASH (A - B),839.50,999.50,999.50,999.50,999.50,999.50,999.50,999.50,999.50,999.50,999.50,999.50,999.50,999.50,999.50,999.50,999.50,999.50,999.50,999.50,999.50,999.50,999.50,999.50,2392.50,26220.50
Closing cash (savings build up),839.50,1839,2838.50,3838,4837.50,5837,6836.50,7836,8835.50,9835,10834.50,11834,12833.50,13833,14832.50,15832,16831.50,17831,18830.50,19830,20829.50,21829,22828.50,23828,26220.50,26220.50
